Year,County,SiteName,Enrollment,PBE,PME
2017-2018,Lane,Veneta Elementary School,360,12,0
2017-2018,Lane,Village School,220,154,0
2017-2018,Lane,Walterville Elementary,176,7,0
2017-2018,Lane,Wellsprings Friends School,51,4,0
2017-2018,Lane,West Lane Technical Learning Center,78,2,0
2017-2018,Lane,Willagillespie Elementary School,495,19,0
2017-2018,Lane,Willamette Christian School,149,5,0
2017-2018,Lane,Willamette High School,"1,451",16,1
2017-2018,Lane,Willamette Leadership Academy-High School,145,1,0
2017-2018,Lane,Willamette Leadership Academy-Middle,130,1,1
2017-2018,Lane,Yolanda Elementary,393,4,0
2017-2018,Lane,Yujin Gakuen Elementary,313,15,0
2017-2018,Lincoln,Crestview Heights,341,22,0
2017-2018,Lincoln,Eddyville Elementary School,96,5,0
2017-2018,Lincoln,Eddyville Secondary Charter School,103,5,0
2017-2018,Lincoln,LC Career Tech High School,60,2,0
2017-2018,Lincoln,Newport High,669,21,1
2017-2018,Lincoln,Newport Middle,440,11,0
2017-2018,Lincoln,Oceanlake Elementary,399,27,0
2017-2018,Lincoln,OLALLA CENTER / LCSD,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Lincoln,Sam Case Elementary,481,14,0
2017-2018,Lincoln,"Seventh Day Adventist School, Lincoln City",37,0,0
2017-2018,Lincoln,Siletz Valley  Chart School,119,1,0
2017-2018,Lincoln,Siletz Valley Early College Academy,80,2,0
2017-2018,Lincoln,Taft Elementary,538,18,3
2017-2018,Lincoln,Taft High,455,13,0
2017-2018,Lincoln,Taft Middle School,268,17,1
2017-2018,Lincoln,Toledo Elementary,438,9,0
2017-2018,Lincoln,Toledo High School,200,3,0
2017-2018,Lincoln,Toledo Junior High,104,0,0
2017-2018,Lincoln,Waldport High School,189,6,0
2017-2018,Lincoln,WALDPORT MIDDLE SCHOOL,86,10,0
2017-2018,Lincoln,YAQUINA VIEW ELEMENTARY,436,10,0
2017-2018,Linn,ALBANY CHRISTIAN SCHOOL,176,11,0
2017-2018,Linn,ALBANY ONLINE,104,7,1
2017-2018,Linn,ALBANY OPTIONS SCHOOL,167,0,1
2017-2018,Linn,BROWNSVILLE MENNONITE SCHOOL,37,11,0
2017-2018,Linn,CALAPOOIA MIDDLE SCHOOL,543,8,0
2017-2018,Linn,CASCADES SCHOOL,334,9,0
2017-2018,Linn,CENTENNIAL ELEMENTARY,299,11,0
2017-2018,Linn,CENTRAL ELEMENTARY,159,5,0
2017-2018,Linn,CENTRAL LINN ELEMENTARY SCHOOL,342,29,1
2017-2018,Linn,CENTRAL LINN MIDDLE/HIGH SCHOOL,328,22,0
2017-2018,Linn,CENTRAL VALLEY CHRISTIAN SCHOOL,37,6,0
2017-2018,Linn,CLOVER RIDGE ELEMENTARY,355,6,2
2017-2018,Linn,EAST LINN CHRISTIAN ACADEMY,332,24,0
2017-2018,Linn,EVERGREEN MENNONITE SCHOOL,29,0,0
2017-2018,Linn,FOSTER ELEMENTARY,358,14,2
2017-2018,Linn,GREEN ACRES SCHOOL,338,10,1
2017-2018,Linn,HAMILTON CREEK SCHOOL,328,13,0
2017-2018,Linn,HARRISBURG  HIGH SCHOOLl,288,8,1
2017-2018,Linn,HARRISBURG ELEMENTARY,379,13,0
2017-2018,Linn,HARRISBURG MIDDLE,179,9,1
2017-2018,Linn,HAWTHORNE ELEMENTARY,374,12,1
2017-2018,Linn,HOLLEY ELEMENTARY,176,10,1
2017-2018,Linn,LACOMB SCHOOL,265,22,2
2017-2018,Linn,LAFAYETTE ELEMENTARY,326,5,3
2017-2018,Linn,LAKE CREEK MENNONITE SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Linn,LEBANON HIGH SCHOOL,"1,396",37,1
2017-2018,Linn,LEBANON I-SCHOOL,42,0,0
2017-2018,Linn,LIBERTY ELEMENTARY,339,10,0
2017-2018,Linn,LIFEGATE CHRISTIAN SCHOOL,22,6,0
2017-2018,Linn,Lighthouse Mennonite School,47,23,0
2017-2018,Linn,LOURDES,48,4,0
2017-2018,Linn,MARI-LINN,219,16,0
2017-2018,Linn,MEMORIAL MIDDLE SCHOOL,592,14,0
2017-2018,Linn,OAK ELEMENTARY,330,8,2
2017-2018,Linn,OAK HEIGHTS ELEMENTARY,317,11,2
2017-2018,Linn,Oregon Connections Academy,"4,113",398,8
2017-2018,Linn,OREGON YOUTH AUTHORITY RIVERSIDE H.S.,10,0,0
2017-2018,Linn,Oregon Youth Authority Three Lakes High,35,0,0
2017-2018,Linn,PERIWINKLE ELEMENTARY,450,5,0
2017-2018,Linn,PIONEER SCHOOL,397,19,1
2017-2018,Linn,RIVERVIEW SCHOOL,424,20,0
2017-2018,Linn,SAND RIDGE CHARTER SCHOOL,310,15,0
2017-2018,Linn,SANTIAM ELEMENTARY,308,18,0
2017-2018,Linn,SANTIAM JR/SR HIGH,269,14,2
2017-2018,Linn,SCIO HIGH SCHOOL,237,3,1
2017-2018,Linn,SCIO MIDDLE SCHOOL,150,7,0
2017-2018,Linn,SEVEN OAK MIDDLE SCHOOL,706,22,2
2017-2018,Linn,SOUTH ALBANY HIGH SCHOOL,"1,339",17,0
2017-2018,Linn,SOUTH SHORE ELEMENTARY,415,4,0
2017-2018,Linn,STANDARD CHRISTIAN SCHOOL,25,4,0
2017-2018,Linn,SUNDBORN CHILDREN'S HOUSE,14,4,0
2017-2018,Linn,SUNRISE ELEMENTARY SCHOOL,371,8,1
2017-2018,Linn,Sweet Home Charter School,134,10,0
2017-2018,Linn,SWEET HOME HIGH SCHOOL,732,25,0
2017-2018,Linn,SWEET HOME JUNIOR HIGH SCHOOL,371,17,1
2017-2018,Linn,TAKENA ELEMENTARY SCHOOL,150,12,0
2017-2018,Linn,TANGENT ELEMENTARY SCHOOL,165,4,0
2017-2018,Linn,THREE LAKES HIGH (OYA),35,0,0
2017-2018,Linn,Timber Ridge School,748,16,1
2017-2018,Linn,WAVERLY ELEMENTARY SCHOOL,268,1,0
2017-2018,Linn,WEST ALBANY HIGH SCHOOL,"1,331",26,3
2017-2018,Malheur,Adrian Elementary & Middle School,214,2,2
2017-2018,Malheur,Adrian High School,96,0,0
2017-2018,Malheur,Aiken Elementary School,294,6,0
2017-2018,Malheur,Alameda Elementary,404,4,0
2017-2018,Malheur,Annex  Charter School,85,5,0
2017-2018,Malheur,Cairo Elementary School,153,0,0
2017-2018,Malheur,Four Rivers Community School,170,4,0
2017-2018,Malheur,Four Rivers Preparatory School,85,0,0
2017-2018,Malheur,Four Rivers Senior Prepatory,47,0,0
2017-2018,Malheur,Harper Elementary School,104,3,0
2017-2018,Malheur,Jordan Valley Elementary School,17,1,0
2017-2018,Malheur,Jordan Valley High School,41,2,0
2017-2018,Malheur,Juntura Elementary School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Malheur,May Roberts Elementary,401,7,0
2017-2018,Malheur,Nyssa Elementary School,566,6,1
2017-2018,Malheur,Nyssa High School,333,7,1
2017-2018,Malheur,Nyssa Middle School,264,8,0
2017-2018,Malheur,Ontario High School,687,6,0
2017-2018,Malheur,Ontario Middle School,330,7,0
2017-2018,Malheur,Pioneer Elementary  School,109,2,0
2017-2018,Malheur,St Peter Catholic School,63,0,0
2017-2018,Malheur,Treasure Valley Christian School,87,6,1
2017-2018,Malheur,Vale Elementary School,425,1,0
2017-2018,Malheur,Vale High School,273,11,0
2017-2018,Malheur,Vale Middle School,97,0,0
2017-2018,Malheur,Willow Creek School,98,7,0
2017-2018,Malheur,WW Jones - Arock School,15,1,0
2017-2018,Marion,Abiqua Academy,162,5,0
2017-2018,Marion,Ark Angels Preschool & Our Saviour's Christian Ele,77,7,0
2017-2018,Marion,Auburn Elementary,664,17,0
2017-2018,Marion,Aumsville Elementary 3-5,296,16,0
2017-2018,Marion,Aumsville Elementary K-2,258,13,1
2017-2018,Marion,Battle Creek Elementary,608,30,0
2017-2018,Marion,Bethany Charter School,134,28,0
2017-2018,Marion,BIC,13,1,0
2017-2018,Marion,Blanchet Catholic School,313,2,0
2017-2018,Marion,Brigett Schwab's Daycare,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Marion,Bud to Blossom Day Care,11,0,0
2017-2018,Marion,Bush Elementary,318,9,1
2017-2018,Marion,"Buttercup Hill, Inc",16,0,0
2017-2018,Marion,Candalaria Elementary,336,13,0
2017-2018,Marion,Cascade Junior High School,569,28,0
2017-2018,Marion,Cascade Senior High School,734,18,0
2017-2018,Marion,Cascade View Christian School,101,0,0
2017-2018,Marion,Centennial CTP,13,0,0
2017-2018,Marion,Central Howell Elementary,177,12,0
2017-2018,Marion,Cesar E Chavez Elementary,556,11,0
2017-2018,Marion,Chemawa Indian Clinic/School,327,0,0
2017-2018,Marion,Chemeketa CTP,17,0,0
2017-2018,Marion,Chemeketa-GED,13,0,0
2017-2018,Marion,Claggett Creek Middle,932,26,0
2017-2018,Marion,Clear Lake Elementary,388,18,0
2017-2018,Marion,Cloverdale Elementary  School #5,149,6,0
2017-2018,Marion,Crosshill Christian School North Campus,68,2,0
2017-2018,Marion,Crosshill Christian School South Campus,315,34,0
2017-2018,Marion,Crossler Middle,822,31,3
2017-2018,Marion,Cummings Elementary,425,7,1
2017-2018,Marion,Eagle Charter School,144,14,0
2017-2018,Marion,Early College High School,195,7,0
2017-2018,Marion,Englewood Elementary,370,10,1
2017-2018,Marion,Evergreen Elementary School #4,87,15,1
2017-2018,Marion,Eyre Elementary,538,5,1
2017-2018,Marion,Forest Ridge Elementary,231,12,0
2017-2018,Marion,Four Corners,496,10,0
2017-2018,Marion,French Prairie Middle School #103,648,6,0
2017-2018,Marion,Gervais Elementary,416,12,0
2017-2018,Marion,Gervais High,283,19,0
2017-2018,Marion,Gervais Middle,239,11,0
2017-2018,Marion,Gethsemane Christian Academy,16,3,0
2017-2018,Marion,Grant Elementary School,406,18,0
2017-2018,Marion,Gubser Elementary,585,24,0
2017-2018,Marion,Hallman Elementary,408,4,0
2017-2018,Marion,Hammond Elementary,504,5,0
2017-2018,Marion,Hayesville Elementary,439,4,1
2017-2018,Marion,Heritage Elementary,886,165,0
2017-2018,Marion,Heritage School,40,1,0
2017-2018,Marion,Highland Elementary,407,10,0
2017-2018,Marion,Holy Family Academy,52,12,0
2017-2018,Marion,Hoover Elementary,432,5,0
2017-2018,Marion,Houck Middle,999,14,0
2017-2018,Marion,Howard St. Charter,164,9,0
2017-2018,Marion,Immanuel Lutheran School,58,2,0
2017-2018,Marion,Jane Goodall Charter School,97,6,1
2017-2018,Marion,Jefferson Elementary,384,12,0
2017-2018,Marion,Jefferson High School,258,3,0
2017-2018,Marion,Jefferson Middle School,205,3,2
2017-2018,Marion,John F. Kennedy High School,193,5,0
2017-2018,Marion,Judson Middle,944,31,0
2017-2018,Marion,Keizer Elementary,720,19,0
2017-2018,Marion,Kennedy Elementary,438,5,0
2017-2018,Marion,Lamb Elementary,475,10,1
2017-2018,Marion,Lee Elementary,302,15,0
2017-2018,Marion,Leslie Middle School,757,25,1
2017-2018,Marion,Liberty Elementary,380,13,0
2017-2018,Marion,Lincoln Elementary #103,743,10,1
2017-2018,Marion,Little Friends Montessori,20,2,0
2017-2018,Marion,Livingstone Adventist Academy,130,16,0
2017-2018,Marion,MacLaren - Lord High,158,0,0
2017-2018,Marion,Mark Twain Elementary School,343,23,0
2017-2018,Marion,McKay High School,"2,204",21,0
2017-2018,Marion,McKinley Elementary,315,11,0
2017-2018,Marion,McNary High School,"1,881",40,1
2017-2018,Marion,Micah CTP,12,1,0
2017-2018,Marion,Miller Elementary,397,17,1
2017-2018,Marion,Montessori Discovery Center 1,10,0,0
2017-2018,Marion,Montessori Discovery Center 2,43,0,0
2017-2018,Marion,Morningside Elementary,366,7,0
2017-2018,Marion,Mt. Angel Middle School,174,7,1
2017-2018,Marion,Nellie Muir Elementary #103,477,8,0
2017-2018,Marion,North Marion High #15,608,23,0
2017-2018,Marion,North Marion Intermediate #15,422,12,0
2017-2018,Marion,North Marion Middle #15,484,14,0
2017-2018,Marion,North Marion Primary #15,382,20,0
2017-2018,Marion,North Salem High,"1,612",29,0
2017-2018,Marion,OLE Charter School,127,5,0
2017-2018,Marion,Orbus House School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Marion,Oregon School for Deaf,118,2,0
2017-2018,Marion,Parrish Middle School,660,12,0
2017-2018,Marion,Pratum Elementary,75,6,0
2017-2018,Marion,Pringle Elementary,594,25,0
2017-2018,Marion,Queen of Peace Catholic School,110,6,0
2017-2018,Marion,Regis High School,111,4,0
2017-2018,Marion,Regis St. Mary's - Stayton,194,18,0
2017-2018,Marion,Richmond Elementary,330,12,0
2017-2018,Marion,Riverfront Learning Center CTP,59,1,0
2017-2018,Marion,Robert Frost School #4,410,33,0
2017-2018,Marion,Roberts High School IPS,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Marion,Roberts High School SLC,37,1,0
2017-2018,Marion,Roberts High School-DTLC,36,0,0
2017-2018,Marion,Roberts High School-SKON,113,5,0
2017-2018,Marion,Roberts High School-SOPH,41,0,0
2017-2018,Marion,Roberts Hight School - Lit Center,12,0,0
2017-2018,Marion,Roots Academy,15,0,0
2017-2018,Marion,Sacred Heart - Gervais,50,4,0
2017-2018,Marion,Salem Academy Elementary,262,13,0
2017-2018,Marion,Salem Academy High School,193,9,0
2017-2018,Marion,Salem Academy Middle School,113,7,0
2017-2018,Marion,Salem Heights Elementary,326,14,0
2017-2018,Marion,Samuel Brown Academy,59,4,0
2017-2018,Marion,Schirle Elementary,467,28,2
2017-2018,Marion,Scott Elementary,590,15,3
2017-2018,Marion,Scotts Mills #4,160,22,0
2017-2018,Marion,Silver Crest School,145,19,0
2017-2018,Marion,Silver Falls Christian School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Marion,Silverton High,"1,274",107,8
2017-2018,Marion,Silverton Middle School,446,33,0
2017-2018,Marion,Sonshine Christian School,151,11,0
2017-2018,Marion,South Salem High School,"1,804",49,3
2017-2018,Marion,Sprague High School,"1,630",43,0
2017-2018,Marion,St. John Bosco High School,11,3,0
2017-2018,Marion,St. John's Lutheran,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Marion,St. Joseph's School,155,3,0
2017-2018,Marion,St. Luke's - Woodburn,140,2,0
2017-2018,Marion,St. Mary's School,393,17,1
2017-2018,Marion,St. Paul Elementary,93,2,0
2017-2018,Marion,St. Paul High,121,1,0
2017-2018,Marion,St. Paul Parochial,70,0,0
2017-2018,Marion,St. Vincent De Paul,97,0,0
2017-2018,Marion,Stayton Elementary #29,399,15,1
2017-2018,Marion,Stayton High School,701,12,1
2017-2018,Marion,Stayton Intermediate,220,5,0
2017-2018,Marion,Stayton Middle School #29,368,14,0
2017-2018,Marion,Stephens Middle School,"1,076",15,0
2017-2018,Marion,Sublimity Elementary SD 7,367,9,0
2017-2018,Marion,Sumpter Elementary,539,28,0
2017-2018,Marion,Sweet Pea's Childcare,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Marion,Swegle Elementary,504,8,0
2017-2018,Marion,Teen Parents Program,39,0,0
2017-2018,Marion,The Community Roots School,120,51,0
2017-2018,Marion,Truth Tabernacle Christian Academy,30,0,0
2017-2018,Marion,Turner Elementary #5,312,16,0
2017-2018,Marion,Valley Inquiry Charter,163,24,0
2017-2018,Marion,Valor Middle School #103,653,55,1
2017-2018,Marion,Victor Point #4,222,21,0
2017-2018,Marion,Waldo Middle School,999,15,2
2017-2018,Marion,Washington Elementary,403,3,0
2017-2018,Marion,Washington Elementary-Woodburn,479,0,0
2017-2018,Marion,Weddle Elementary,425,16,0
2017-2018,Marion,Whiteaker Middle,775,30,0
2017-2018,Marion,Willamette Valley Baptist,57,10,0
2017-2018,Marion,Willamette Valley Christian School,175,1,0
2017-2018,Marion,Winema,44,0,0
2017-2018,Marion,Woodburn Arthur Academy,165,14,0
2017-2018,Marion,Woodburn H.S. (WAAST),391,25,0
2017-2018,Marion,Woodburn H.S. (WACA),360,6,0
2017-2018,Marion,Woodburn H.S. (WEBSS),360,28,1
2017-2018,Marion,Woodburn H.S.(AIS),253,2,0
2017-2018,Marion,Woodburn H.S.SUCCESS,68,1,1
2017-2018,Marion,Wright Elementary,388,15,0
2017-2018,Marion,Yoshikai Elementary,561,13,1
2017-2018,Morrow, AC HOUGHTON ELEMENTARY,284,1,1
2017-2018,Morrow,HEPPNER ELEMENTARY,167,1,0
2017-2018,Morrow,Heppner High/Middle School,172,6,0
2017-2018,Morrow,Ione Community School,183,9,2
2017-2018,Morrow,Irrigon Elementary,215,1,0
2017-2018,Morrow,IRRIGON JUNIOR-SENIOR HIGH SCHOOL,356,2,0
2017-2018,Morrow,MORROW EDUCATION CENTER,65,0,0
2017-2018,Morrow,Riverside High School,406,1,0
2017-2018,Morrow,Sam Boardman Elementary,356,3,0
2017-2018,Morrow,Windy River Elementary,250,2,0
2017-2018,Multnomah,Abernethy ES,518,45,1
2017-2018,Multnomah,Access,327,16,0
2017-2018,Multnomah,Ainsworth ES,630,34,1
2017-2018,Multnomah,Alameda ES,744,55,0
2017-2018,Multnomah,Alder ES,473,11,0
2017-2018,Multnomah,Alice Ott MS,696,30,1
2017-2018,Multnomah,ALL SAINTS SCHOOL,464,6,0
2017-2018,Multnomah,Alliance HS @ Benson Campus,70,2,0
2017-2018,Multnomah,Alliance HS at Meek,113,3,0
2017-2018,Multnomah,APOSTOLIC CHRISTIAN ACADEMY,15,0,0
2017-2018,Multnomah,Arata Creek,25,0,0
2017-2018,Multnomah,Arleta K-8,447,27,0
2017-2018,Multnomah,Arthur Academy Charter (David Douglas S. D.),162,13,0
2017-2018,Multnomah,Arthur Academy Charter (Portland Public Schools),169,16,0
2017-2018,Multnomah,Astor K-8,412,13,0
2017-2018,Multnomah,Atkinson ES,424,44,0
2017-2018,Multnomah,Beach PK-8,436,28,1
2017-2018,Multnomah,Beaumont MS,581,30,0
2017-2018,Multnomah,Benson Polytechnic HS,970,55,0
2017-2018,Multnomah,Beverly Cleary K-8,897,42,0
2017-2018,Multnomah,Boise-Eliot PK-8,471,18,0
2017-2018,Multnomah,Breakthrough,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,Bridger K-8,513,36,0
2017-2018,Multnomah,BRIDGES MIDDLE SCHOOL,37,3,0
2017-2018,Multnomah,Bridlemile E.S.,522,28,1
2017-2018,Multnomah,Buckman ES,457,69,0
2017-2018,Multnomah,Burlingame Creek,26,1,0
2017-2018,Multnomah,Butler Creek E.S.,567,40,0
2017-2018,Multnomah,C.T.C. Humboldt,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,C.T.C. Northeast,38,0,0
2017-2018,Multnomah,C.T.C. Southeast,53,1,0
2017-2018,Multnomah,Capitol Hill ES,439,20,0
2017-2018,Multnomah,CASITA MONTESSORI SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,CATHEDRAL SCHOOL,228,15,0
2017-2018,Multnomah,CEDARWOOD WALDORF SCHOOL,258,108,0
2017-2018,Multnomah,Centennial HS,"1,642",63,2
2017-2018,Multnomah,Centennial Middle School,927,61,0
2017-2018,Multnomah,Centennial Park School,147,4,0
2017-2018,Multnomah,Center for Advanced Learning,197,5,1
2017-2018,Multnomah,CENTRAL CATHOLIC HIGH SCHOOL,881,15,0
2017-2018,Multnomah,CENTRAL CHRISTIAN ACADEMY,10,0,0
2017-2018,Multnomah,Cesar Chavez School K-8,523,14,0
2017-2018,Multnomah,Chapman ES,523,31,0
2017-2018,Multnomah,Cherry Park ES,463,26,0
2017-2018,Multnomah,CHESTNUT GROVE MONTESSORI CHILDREN'S HOUSE,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,Chief Joseph,354,30,1
2017-2018,Multnomah,CHILDPEACE MONTESSORI,256,30,1
2017-2018,Multnomah,CHILDREN'S VALLEY,15,7,0
2017-2018,Multnomah,CHILD'S VIEW MONTESSORI SCHOOL,25,4,0
2017-2018,Multnomah,CHILDSWORK LEARNING CENTER,17,2,0
2017-2018,Multnomah,CITY CHRISTIAN SCHOOL,451,58,0
2017-2018,Multnomah,CLASS ACADEMY,106,13,0
2017-2018,Multnomah,Clear Creek MS,589,20,0
2017-2018,Multnomah,Cleveland HS,"1,532",94,3
2017-2018,Multnomah,Clinton School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,COLUMBIA CHRISTIAN SCHOOL,299,22,0
2017-2018,Multnomah,Corbett Grade School,531,70,0
2017-2018,Multnomah,Corbett HS,405,29,1
2017-2018,Multnomah,Corbett MS,275,20,0
2017-2018,Multnomah,"Cottonwood School, The",199,72,0
2017-2018,Multnomah,CREATIVE MINDS LC-  BROADWAY,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,Creative Science School PK-8,474,78,1
2017-2018,Multnomah,Creston PK-8,360,33,0
2017-2018,Multnomah,David Douglas Community Transition Program,47,4,1
2017-2018,Multnomah,David Douglas Day Academy,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,David Douglas HS,"2,779",87,1
2017-2018,Multnomah,DaVinci Arts MS,452,54,2
2017-2018,Multnomah,Davis ES,444,2,0
2017-2018,Multnomah,DD Evening Academy,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,DE LA SALLE N CATHOLIC HIGH SCHOOL,290,8,0
2017-2018,Multnomah,Deep Creek - Damascus ES,268,25,0
2017-2018,Multnomah,Deep Creek-Damascus MS,149,13,0
2017-2018,Multnomah,Depaul Alternative School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,Dexter McCarty MS,517,14,0
2017-2018,Multnomah,Duniway ES,499,40,0
2017-2018,Multnomah,Earl Boyles ES,447,28,0
2017-2018,Multnomah,East Gresham ES,364,8,0
2017-2018,Multnomah,East Orient ES,476,23,2
2017-2018,Multnomah,Ed Options Reconnection Center,13,1,0
2017-2018,Multnomah,Emerson School  The,142,24,0
2017-2018,Multnomah,Fairview ES,369,20,1
2017-2018,Multnomah,Faubion ES,622,27,0
2017-2018,Multnomah,Fir Ridge Campus,137,1,0
2017-2018,Multnomah,Floyd Light MS,804,36,1
2017-2018,Multnomah,Forest Park ES,433,17,1
2017-2018,Multnomah,Four Corners School,34,0,0
2017-2018,Multnomah,FRANCISCAN MONTESSORI EARTH SCHOOL,259,53,0
2017-2018,Multnomah,Franklin HS,"1,607",76,4
2017-2018,Multnomah,FRENCH AMERICAN INT'L SCH,453,26,0
2017-2018,Multnomah,FRUIT AND FLOWER CHILDCARE CENTER,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,GARDEN HOME MONTESSORI SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,George MS,408,4,0
2017-2018,Multnomah,Gilbert Heights ES,592,27,0
2017-2018,Multnomah,Gilbert Park ES,603,44,1
2017-2018,Multnomah,Glencoe ES,477,60,1
2017-2018,Multnomah,Glenfair ES,479,12,0
2017-2018,Multnomah,Gordon Russell MS,769,30,0
2017-2018,Multnomah,GRACE LUTHERAN SCHOOL,81,14,0
2017-2018,Multnomah,Grant HS,"1,472",48,0
2017-2018,Multnomah,GREATER PORTLAND CHRISTIAN ACADEMY,82,32,0
2017-2018,Multnomah,Gresham Arthur Academy,171,20,1
2017-2018,Multnomah,GRESHAM HIGH SCHOOL,"1,389",33,1
2017-2018,Multnomah,Grout ES,376,41,0
2017-2018,Multnomah,Hall ES,431,12,0
2017-2018,Multnomah,HAPPY DAY CHRISTIAN CHILDCARE,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,HARMONY MONTESSORI SCHOOL,36,10,0
2017-2018,Multnomah,Harrison Park PK-8,641,14,1
2017-2018,Multnomah,Hartley ES,456,27,0
2017-2018,Multnomah,Hayhurst ES,366,27,1
2017-2018,Multnomah,HB Lee MS,696,11,0
2017-2018,Multnomah,Helensview School,87,4,0
2017-2018,Multnomah,Highland ES,482,18,0
2017-2018,Multnomah,HILLTOP PRESCHOOL & KINDERGARTEN,10,3,0
2017-2018,Multnomah,Hogan Cedars,560,18,0
2017-2018,Multnomah,Hollydale ES,428,19,0
2017-2018,Multnomah,HOLY CROSS CATHOLIC SCHOOL,218,5,0
2017-2018,Multnomah,HOLY FAMILY CATHOLIC SCHOOL,196,4,0
2017-2018,Multnomah,HOLY REDEEMER SCHOOL,250,6,0
2017-2018,Multnomah,Hosford International MS,604,34,1
2017-2018,Multnomah,"INTERNATIONAL SCHOOL, THE",327,20,0
2017-2018,Multnomah,Irvington K-8,453,24,0
2017-2018,Multnomah,"Ivy School, The",262,68,0
2017-2018,Multnomah,Jackson MS,659,41,2
2017-2018,Multnomah,James John ES,370,15,0
2017-2018,Multnomah,Jefferson HS,631,43,1
2017-2018,Multnomah,Johns Landing,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,JOYFUL NOISE - CITY KIDS CHILD DEVELOPMENT CENTER,12,0,0
2017-2018,Multnomah,KairosPDX,120,23,0
2017-2018,Multnomah,Kelly Creek ES,532,20,1
2017-2018,Multnomah,Kelly ES,507,116,1
2017-2018,Multnomah,King PK-8,356,11,0
2017-2018,Multnomah,Knott Creek School,25,1,0
2017-2018,Multnomah,Knova Reynolds Public Charter,305,23,0
2017-2018,Multnomah,L' ETOILE FRENCH IMMERSION SCHOOL,80,7,0
2017-2018,Multnomah,LA PETITE ACADEMY,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,Lane MS,438,27,2
2017-2018,Multnomah,Laurelhurst K-8,694,20,1
2017-2018,Multnomah,Le Monde French Immersion,300,44,1
2017-2018,Multnomah,Lee K-8,408,19,0
2017-2018,Multnomah,Lent K-8,527,12,0
2017-2018,Multnomah,Lewis ES,388,61,0
2017-2018,Multnomah,Lewis/Clark Montessori Charter,357,81,0
2017-2018,Multnomah,Lincoln High School,"1,639",52,2
2017-2018,Multnomah,Lincoln Park ES,608,30,0
2017-2018,Multnomah,LITTLE GENIUS MONTESSORI (THE),Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,LITTLE VILLAGE MONTESSORI,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Multnomah,Llewellyn ES,485,35,0
2017-2018,Multnomah,MA'AYAN  HA TORAH DAY SCHOOL,61,12,0
2017-2018,Multnomah,MADELEINE SCHOOL,262,1,1
2017-2018,Multnomah,Madison HS,"1,104",34,1
2017-2018,Multnomah,MAIMONIDES JEWISH DAY SCHOOL/THE GAN PRESCHOOL,28,4,0
2017-2018,Multnomah,Maplewood ES,378,20,1
2017-2018,Multnomah,Margaret Scott ES,415,5,0
2017-2018,Multnomah,Markham ES,441,31,0
2017-2018,Multnomah,Marysville K-8,372,20,0
2017-2018,Multnomah,ME Web Academy High School,373,20,1
2017-2018,Multnomah,ME Web Academy Middle School,34,3,0
2017-2018,Multnomah,Meadows ES,402,16,0
2017-2018,Multnomah,Menlo Park ES,465,10,0
2017-2018,Multnomah,MESD FLS Arata Creek,14,1,0
2017-2018,Multnomah,MESD FLS Centennial H.S.,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
